,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
551,Koffi Djidji,"€ 9,038","€ 470,000",,"Jul 1, 2019",,,"€ 470,000",,D,,30.0,Starter,Cote d'Ivoire,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,CB,
552,Alessandro Buongiorno,"€ 7,885","€ 410,000",,"Nov 5, 2021",,,"€ 1,230,000",,D,,23.0,Starter,Italy,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,,CB,
553,Wilfried Stephane Singo,"€ 5,000","€ 260,000",,"Nov 24, 2020",,,"€ 520,000",,D,,22.0,Starter,Cote d'Ivoire,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,,RB,
554,Luca Gemello,"€ 2,115","€ 110,000",,"Dec 27, 2021",,,"€ 110,000",,K,,22.0,Reserve,Italy,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,GK,
555,Gvidas Gineitis,"€ 2,115","€ 110,000",,"Mar 2, 2023",,,"€ 440,000",,M,,18.0,Reserve,Lithuania,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2026",4.0,,CM,
556,Michel Ndary Adopo,"€ 2,115","€ 110,000",,"Apr 27, 2018",,,"€ 110,000",,M,,22.0,Starter,France,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,CM,
557,Andreaw Gravillon,"€ 1,731","€ 90,000",,"Jan 31, 2023",,,"€ 90,000",,D,,24.0,Reserve,Guadeloupe,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,CB,
558,Matteo Fiorenza,€ 962,"€ 50,000",,"Jul 11, 2022",,,"€ 200,000",,K,,19.0,Reserve,Italy,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2026",4.0,,GK,
559,Total,"€ 684,232","€ 35,580,000",€ 0,,,,"€ 65,030,000",€ 0,,,,,,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,,,,,
560,Florian Thauvin,"€ 44,423","€ 2,310,000",,"Jan 31, 2023","Jun 30, 2025",3.0,"€ 6,930,000",,F,,30.0,Reserve,France,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,RW
561,Marco Silvestri,"€ 35,577","€ 1,850,000","€ 370,000","Dec 1, 2022","Jun 30, 2025",3.0,"€ 5,550,000",,K,,31.0,Starter,Italy,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,GK
562,Ilija Nestorovski,"€ 25,000","€ 1,300,000",,"Jul 4, 2022","Jun 30, 2023",1.0,"€ 1,300,000",,F,,32.0,Reserve,North Macedonia,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CF
563,Roberto Pereyra,"€ 24,615","€ 1,280,000",,"Sep 28, 2020","Jun 30, 2023",1.0,"€ 1,280,000",,M,,32.0,Starter,Argentina,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CM
564,Gerard Deulofeu,"€ 24,615","€ 1,280,000",,"Jan 30, 2021","Jun 30, 2024",2.0,"€ 2,560,000",,F,,28.0,Reserve,Spain,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CF
565,Adam Masina,"€ 22,115","€ 1,150,000",,"Jul 18, 2022","Jun 30, 2025",3.0,"€ 3,450,000",,D,,29.0,Reserve,Morocco,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,LB
566,Isaac Success,"€ 20,962","€ 1,090,000",,"Dec 3, 2022","Jun 30, 2025",3.0,"€ 3,270,000",,F,,27.0,Reserve,Nigeria,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CF
567,Walace,"€ 19,808","€ 1,030,000",,"Nov 17, 2022","Jun 30, 2026",4.0,"€ 4,120,000",,M,,27.0,Starter,Brazil,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,DM
568,Enzo Ebosse,"€ 19,808","€ 1,030,000",,"Jul 29, 2022","Jun 30, 2027",5.0,"€ 5,150,000",,D,,23.0,Reserve,Cameroon,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CB
569,Jaka Bijol,"€ 19,808","€ 1,030,000",,"Jul 14, 2022","Jun 30, 2027",5.0,"€ 5,150,000",,D,,23.0,Starter,Slovenia,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CB
570,Sandi Lovric,"€ 17,308","€ 900,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 4,500,000",,M,,24.0,Starter,Slovenia,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CM
571,Kingsley Ehizibue,"€ 17,308","€ 900,000",,"Aug 29, 2022","Jun 30, 2026",4.0,"€ 3,600,000",,D,,27.0,Starter,Netherlands,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,RB
572,Nehuén Pérez,"€ 15,962","€ 830,000",,"Jul 29, 2022","Jun 30, 2027",5.0,"€ 4,150,000",,D,,22.0,Starter,Argentina,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CB
573,Rodrigo Becão,"€ 14,808","€ 770,000",,"Jul 6, 2019","Jun 30, 2024",2.0,"€ 1,540,000",,D,,27.0,Starter,Brazil,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CB
574,Tolgay Arslan,"€ 14,808","€ 770,000",,"Sep 18, 2020","Jun 30, 2023",1.0,"€ 770,000",,M,,32.0,Reserve,Germany,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CM
575,Marvin Zeegelaar,"€ 12,308","€ 640,000",,"Mar 7, 2023","Jun 30, 2023",1.0,"€ 640,000",,D,,32.0,Reserve,Netherlands,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,LB
576,Lazar Samardzic,"€ 9,808","€ 510,000",,"Aug 5, 2021","Jun 30, 2026",4.0,"€ 2,040,000",,F,,20.0,Starter,Germany,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,AM
577,Daniele Padelli,"€ 7,115","€ 370,000",,"Jul 1, 2021","Jun 30, 2023",1.0,"€ 370,000",,K,,37.0,Reserve,Italy,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,GK
578,Leonardo Buta,"€ 6,154","€ 320,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 1,600,000",,D,,20.0,Reserve,Portugal,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,LB
579,Destiny Udogie,"€ 5,385","€ 280,000",,"Aug 17, 2022","Jun 30, 2023",1.0,"€ 280,000",,D,,20.0,Starter,Italy,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,LB
580,Festy Ebosele,"€ 4,423","€ 230,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 1,150,000",,D,,20.0,Reserve,Ireland,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,RB
581,Beto,"€ 3,654","€ 190,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 760,000",,F,,25.0,Starter,Portugal,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CF
582,Axel Guessand,"€ 2,885","€ 150,000",,"Nov 10, 2022","Jun 30, 2027",5.0,"€ 750,000",,D,,18.0,Reserve,France,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CB
583,James Abankwah,"€ 1,154","€ 60,000",,"Jan 26, 2022","Jun 30, 2026",4.0,"€ 240,000",,D,,19.0,Reserve,Ireland,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,CB
584,Simone Pafundi,"€ 1,154","€ 60,000",,"Jul 20, 2022","Jun 30, 2025",3.0,"€ 180,000",,F,,16.0,Reserve,Italy,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,AM
585,Edoardo Piana,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 60,000",,K,,19.0,Reserve,Italy,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,GK
586,Total,"€ 392,119","€ 20,390,000","€ 370,000",,,,"€ 61,390,000",€ 0,,,,,,,,Udinese,Serie A,2022-2023,,,,,,,,,,,,,,,,,
